시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율,위도,경도
종로구,사직동,25308.00603,1,29,2201.444122,11.49609285,56,10,447,27,1,28,9355,1808,5.174225664,37.575408,126.965944
종로구,삼청동,6084.941765,1,29,590.9469749,10.29693361,19,4,190,16,0,16,2642,626,4.220447284,37.590758,126.980996
종로구,부암동,14174.37596,1,29,1684.234649,8.415915186,58,16,385,34,0,34,9536,1814,5.256890849,37.594768,126.965574
종로구,평창동,17494.97666,3,29,2491.826055,7.020946193,56,22,716,54,0,54,17858,3495,5.109585122,37.613029,126.974485
종로구,무악동,6495.619954,3,29,914.8197172,7.100437203,88,20,219,3,0,3,8052,1476,5.455284553,37.57711,126.958562
종로구,교남동,7255.245085,0,29,837.1808035,8.666282188,55,18,371,24,0,24,9994,1656,6.035024155,37.568547,126.964454
종로구,가회동,6932.127119,1,29,660.4304458,10.49637727,19,8,221,23,0,23,4065,840,4.839285714,37.582682,126.984831
종로구,종로1.2.3.4가동,63479.18695,0,29,5680.621316,11.17469083,404,19,688,71,17,88,8700,1757,4.951622083,37.570962,126.977881
종로구,종로5.6가동,16377.68155,0,29,2011.73291,8.141081483,124,32,333,18,2,20,5817,1068,5.446629213,37.573681,127.009292
종로구,이화동,25813.05465,1,29,2102.115441,12.27956093,100,40,316,20,1,21,7631,1358,5.619293078,37.577245,127.005622
종로구,창신1동,8612.088151,0,29,1151.000718,7.482261321,201,15,328,6,3,9,5383,1188,4.531144781,37.573172,126.97922
종로구,창신2동,8480.381361,0,29,1209.321411,7.012512378,209,34,416,2,1,3,8796,1848,4.75974026,37.573172,126.97922
종로구,창신3동,4774.395129,0,29,545.6665433,8.749657072,77,7,225,5,1,6,6606,1253,5.272146848,37.573172,126.97922
종로구,숭인1동,7167.64679,0,29,920.2927452,7.788442132,116,25,265,10,4,14,6057,1212,4.997524752,37.573172,126.97922
종로구,숭인2동,12363.81302,0,29,1506.365382,8.207711866,218,37,456,9,4,13,10509,1723,6.099245502,37.573172,126.97922
종로구,청운효자동,18327.98995,0,29,1867.368875,9.814873854,72,23,454,32,0,32,11818,2154,5.486536676,37.584009,126.970626
종로구,혜화동,33607.95573,0,29,2186.183403,15.37288943,128,19,619,37,1,38,19392,2682,7.230425056,37.587817,127.001745
중구,소공동,27907.6411,0,29,1309.520295,21.31134676,17,0,53,32,5,37,3578,318,11.25157233,37.564079,126.980046
중구,회현동,26546.04915,0,29,2445.507666,10.85502594,213,8,259,36,10,46,5222,1323,3.947089947,37.557288,126.979369
중구,명동,36805.14784,0,29,1778.688063,20.69230047,30,2,160,34,6,40,3638,778,4.676092545,37.560029,126.985806
중구,필동,14392.64417,0,29,1109.619934,12.97078732,52,9,252,10,1,11,4816,885,5.44180791,37.560148,126.995572
중구,장충동,12580.35636,0,29,885.9124407,14.20045118,57,6,189,13,1,14,5326,866,6.150115473,37.561919,127.007818
중구,광희동,24360.17504,0,29,1849.489557,13.17129634,110,13,318,24,2,26,6682,1124,5.944839858,37.564445,127.005023
중구,을지로동,17184.2054,0,29,1565.998556,10.97332135,91,7,178,17,3,20,1912,468,4.085470085,37.56669,126.991319
중구,신당5동,7626.547197,0,29,828.9863536,9.199846491,201,31,340,8,0,8,10513,1875,5.606933333,37.56376,126.997459
중구,황학동,13134.12167,4,29,1462.213239,8.982357241,214,20,413,7,1,8,13459,2077,6.480019259,37.568542,127.020827
중구,중림동,8322.428275,2,29,897.2339194,9.275650524,221,33,359,10,1,11,12338,2205,5.595464853,37.558842,126.96632
중구,신당동,22116.83454,29,29,1936.284229,11.42230785,193,22,359,8,3,11,9087,1517,5.990112063,37.557913,127.013655
중구,다산동,14993.2528,0,29,1783.794206,8.405259281,190,43,476,8,0,8,13954,2819,4.949982263,37.554398,127.008155
중구,약수동,13256.74357,0,29,2022.811031,6.553624321,418,110,596,12,2,14,16610,4001,4.151462134,37.552459,127.008973
중구,청구동,11131.70221,0,29,1446.225604,7.697071727,318,47,460,5,1,6,13451,2844,4.729606188,37.557074,127.014616
중구,동화동,10386.93432,0,29,1324.402066,7.84273491,67,15,255,4,0,4,10199,1955,5.216879795,37.560042,127.019399
용산구,후암동,12199.95462,5,38,1345.524292,9.067063811,268,32,584,19,0,19,16812,3008,5.589095745,37.549901,126.980613
용산구,용산2가동,12559.26255,0,29,1297.848648,9.676985495,168,19,354,26,1,27,10333,2045,5.052811736,37.542884,126.985008
용산구,남영동,16347.61368,1,93,1448.771115,11.28377941,520,3,346,20,2,22,7552,1562,4.834827145,37.542865,126.973353
용산구,원효로2동,16119.31682,0,29,1842.939017,8.746527512,177,14,347,26,0,26,13795,2331,5.918060918,37.532612,126.990182
용산구,효창동,9383.937603,4,35,1090.45087,8.605557444,49,9,244,15,0,15,10888,1579,6.895503483,37.542828,126.960951
용산구,용문동,8509.639851,4,30,1002.710503,8.486636796,183,17,289,16,1,17,11664,2172,5.370165746,37.537663,126.959677
용산구,이촌1동,24803.21369,0,29,3053.159766,8.123785059,21,7,676,22,1,23,25707,4306,5.970041802,37.532612,126.990182
용산구,이촌2동,8688.923303,0,29,1010.247348,8.600788034,65,9,331,9,0,9,8094,1792,4.516741071,37.532612,126.990182
